PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
001452,PRICEGROUP7,41.5239,83.0477,3021
001452UC,PRICEGROUP1,33.45,83.0477,3050
001452UC,PRICEGROUP2,33.45,83.0477,3040
001452UC,PRICEGROUP3,36.9106,83.0477,3030
001452UC,PRICEGROUP4,41.5239,83.0477,3020
001452UC,PRICEGROUP5,44.9836,83.0477,3010
001452UC,PRICEGROUP6,33.45,83.0477,3031
001452UC,PRICEGROUP7,41.5239,83.0477,3021
001500,PRICEGROUP1,33.45,83.0477,3050
001500,PRICEGROUP2,33.45,83.0477,3040
001500,PRICEGROUP3,36.9106,83.0477,3030
001500,PRICEGROUP4,41.5239,83.0477,3020
001500,PRICEGROUP5,44.9836,83.0477,3010
001500,PRICEGROUP6,33.45,83.0477,3031
001500,PRICEGROUP7,41.5239,83.0477,3021
001700,PRICEGROUP1,33.45,83.0477,3050
001700,PRICEGROUP2,33.45,83.0477,3040
001700,PRICEGROUP3,36.9106,83.0477,3030
001700,PRICEGROUP4,41.5239,83.0477,3020
001700,PRICEGROUP5,44.9836,83.0477,3010
001700,PRICEGROUP6,33.45,83.0477,3031
001700,PRICEGROUP7,41.5239,83.0477,3021
001720,PRICEGROUP1,33.45,83.0477,3050
001720,PRICEGROUP2,33.45,83.0477,3040
001720,PRICEGROUP3,36.9106,83.0477,3030
001720,PRICEGROUP4,41.5239,83.0477,3020
001720,PRICEGROUP5,44.9836,83.0477,3010
001720,PRICEGROUP6,33.45,83.0477,3031
001720,PRICEGROUP7,41.5239,83.0477,3021
001720UC,PRICEGROUP1,33.45,83.0477,3050
001720UC,PRICEGROUP2,33.45,83.0477,3040
001720UC,PRICEGROUP3,36.9106,83.0477,3030
001720UC,PRICEGROUP4,41.5239,83.0477,3020
001720UC,PRICEGROUP5,44.9836,83.0477,3010
001720UC,PRICEGROUP6,33.45,83.0477,3031
001720UC,PRICEGROUP7,41.5239,83.0477,3021
001912,PRICEGROUP1,33.45,83.0477,3050
001912,PRICEGROUP2,33.45,83.0477,3040
001912,PRICEGROUP3,36.9106,83.0477,3030
001912,PRICEGROUP4,41.5239,83.0477,3020
001912,PRICEGROUP5,44.9836,83.0477,3010
001912,PRICEGROUP6,33.45,83.0477,3031
001912,PRICEGROUP7,41.5239,83.0477,3021
002000,PRICEGROUP1,33.45,83.0477,3050
002000,PRICEGROUP2,33.45,83.0477,3040
002000,PRICEGROUP3,36.9106,83.0477,3030
002000,PRICEGROUP4,41.5239,83.0477,3020
002000,PRICEGROUP5,44.9836,83.0477,3010
002000,PRICEGROUP6,33.45,83.0477,3031
002000,PRICEGROUP7,41.5239,83.0477,3021
002010,PRICEGROUP1,33.45,83.0477,3050
002010,PRICEGROUP2,33.45,83.0477,3040
002010,PRICEGROUP3,36.9106,83.0477,3030
002010,PRICEGROUP4,41.5239,83.0477,3020
002010,PRICEGROUP5,44.9836,83.0477,3010
002010,PRICEGROUP6,33.45,83.0477,3031
002010,PRICEGROUP7,41.5239,83.0477,3021
002104,PRICEGROUP1,33.45,83.0477,3050
002104,PRICEGROUP2,33.45,83.0477,3040
002104,PRICEGROUP3,36.9106,83.0477,3030
002104,PRICEGROUP4,41.5239,83.0477,3020
002104,PRICEGROUP5,44.9836,83.0477,3010
002104,PRICEGROUP6,33.45,83.0477,3031
002104,PRICEGROUP7,41.5239,83.0477,3021
