Customer,Company name,Category
GOU00,AUTO ONE GOULBURN,3030
GOU02,GOULBURN FARM MACHINERY,3020
GPA01,GP AUTO SPARES,3030
GRA16,GRANT WALKER MOTORS,3030
GRE02,AUTOBARN GREEN VALLEY,3021
GRE22,AUTOBARN GREENSBOROUGH,3021
GRI06,AUTOBARN GRIFFITH,3021
GTP00,GT PRODUCT SALES,3040
GTS01,GT SHOP PTY LTD,3030
GUI02,GUILDFORD SPARES,3031
GUN08,GUNNEDAH AUTO CENTRE,3020
GYM00,AUTOBARN GYMPIE,3021
HAC01,HACKETT'S DISCOUNT TYRES,3010
HAL14,HALLAM BRAKE & CLUTCH,3030
HAN07,HANSENS AUTO ELEC,3010
HAS03,HASTINGS RIVER BRAKE&CLUTCH,3030
HAW15,AUTO ONE WINDSOR,3040
HEN10,HENRY'S TRUCK & TRAILER PTY LT,3030
HER02,AUTOPRO HERVEY BAY,3021
HER03,AUTOBARN HERVEY BAY-DoNotUse,3021
HER04,AUTOBARN HERVEY BAY,3021
HES00,HESSIONS AUTO PARTS,3030
HIG02,HIGH COUNTRY PARTS & 4X4,3050
HIG04,HIGHWAY CLUTCH & BRAKE PTY LTD,3050
HIG09,HIGHTEK BRAKES  P/L,3030
HIL00,HILLS AUTOMAN,3030
HIL09,HILLS AUTO PTY LTD,3020
HIT13,HITECH BRAKE & CLUTCH SERVICES,3030
HMT00,H.M. TRANSPORT MAINTENANCE PTY,3030
HOL19,HOLDSPARES,3030
HOL21,HOLDENT,3010
HOM00,HOMERSHAM LTD,3010
HOM02,AUTOPARTS HOMEBUSH,3020
HOP02,AUTOBARN HOPPERS CROSSING,3021
HOR00,HORSHAM BEARINGS,3030
HOR14,HORSHAM AUTO ELECTRICAL,3030
HOX01,HOXTON PARK AUTO PARTS P/L,3020
HUN08,HUNTS AUTO SPARES,3030
HUR01,AUTOBARN HURSTVILLE,3021
HUT00,HUTCHEON AND PEARCE OPERATIONS,3020
HUT01,AUTOPRO MURRAY BRIDGE,3030
HYD15,HYDRAULIC & PNEUMATIC (VIC),3020
HYD19,HYDENG PTY LTD,3030
HYS08,HYSPEC HYDRAULICS,3010
IAN02,IAN JONES AUTO PARTS P/L,3020
IND09,INDEPENDENT CAR PARTS PTY LTD,3050
INS07,INSTANT PARTS,3030
INT04,INTERNATIONAL MARINE,3030
INT08,INTERPART PTY LTD,3030
INV02,BYRON SPARES,3021
IPS05,AUTOBARN IPSWICH,3021
ISA00,ISA AUTO SUPPLIERS,3020
ISR00,ISR TRUCK CITY,3030
ISW00,ISW TRADING VIRGINIA,3030
ISW01,ISW TRADING SUNSHINE WEST,3030
JAC06,JACKSON'S PARTS N INDUST,3010
JAS00,JAS OCEANIA PTY LTD,3030
JAS01,JAS OCEANIA PTY LTD,3030
JAS02,JAS OCEANIA PTY LTD,3030
JAS03,JAS OCEANIA PTY LTD,3030
JAS04,JAS OCEANIA PTY LTD,3030
JAY02,JAEDEES TRUCK AND AUTO,3020
JBS00,J B SCOTT PTY LTD,3030
JCS00,J.C. SPARES,3030
JES00,JESS' BETTER PARTS,3020
JIM02,A1 AUTOPARTS NORTH RICHMOND,3030
JIM03,PEPS AUTO SPARES ENGADINE,3040
JIM05,ROYLANCE'S,3020
JNA00,J & N AUTO PARTS & ACCESSORIES,3030
JOY04,JOYCE HOLDINGS P/L,3030
K-N00,K & N AUTO PARTS,3030
KAC00,KAC GENERATION & MECHANICAL PT,3010
KAD01,AUTO ONE KADINA,3030
KAL00,AUTO ONE KALAMUNDA,3030
KAM02,KAM AUTO PARTS,3030
KAP01,KAPUNDA HARDWARE & GARDEN CENT,3020
KAT01,AUTOPRO KATHERINE,3021
KAT02,BURSON AUTO PARTS KATOOMBA,3020
KAT03,BURSON AUTO PARTS KATHERINE,3021
KAW01,AUTOBARN KAWANA WATERS,3021
KAW02,KAWANA BRAKES- DONLOV PTY LTD,3020
KEM02,KEMPS MULTIPARTS,3030
KEN05,AUTO ONE MASCOT / KENSINGTON,3030
KHE00,K H EQUIPMENT PTY LTD,3030
KIL06,KILMORE AUTO SUPPIES,3030
KIN00,KINGS BRAKE SERVICE,3030
