"Part No""",Available Stock,Site
003600UC,0,DCV02
003600UC,0,AC001
003600UC,0,DCV01
003600UC,0,WHS01
"=""003700""",0,DCV01
"=""003700""",0,AC001
"=""003700""",1,WA001
"=""003700""",6,WHS01
"=""003700""",0,VIC01
"=""003700""",1,QLD01
"=""003700""",1,SA001
"=""003700""",1,TAS01
"=""003700""",1,NSW01
"=""003700""",0,DCV02
003700UC,0,DCV02
003700UC,0,QLD01
003700UC,0,WHS01
003700UC,0,NSW01
003700UC,0,VIC01
003700UC,0,WA001
003700UC,0,SA001
003700UC,0,AC001
003700UC,0,TAS01
003700UC,0,DCV01
"=""003712""",0,DCV01
"=""003712""",0,WA001
"=""003712""",0,QLD01
"=""003712""",1,WHS01
"=""003712""",0,VIC01
"=""003712""",0,NSW01
"=""003712""",0,SA001
"=""003712""",0,DCV02
"=""003712""",0,TAS01
"=""003712""",0,AC001
"=""003820""",0,DCV02
"=""003820""",1,QLD01
"=""003820""",0,VIC01
"=""003820""",11,WHS01
"=""003820""",1,WA001
"=""003820""",1,TAS01
"=""003820""",1,SA001
"=""003820""",4,NSW01
"=""003820""",0,AC001
"=""003820""",1,DCV01
003820UC,0,DCV01
003820UC,0,AC001
003820UC,0,TAS01
003820UC,0,DCV02
003820UC,0,SA001
003820UC,0,WA001
003820UC,0,VIC01
003820UC,0,NSW01
003820UC,0,WHS01
003820UC,0,QLD01
"=""003830""",0,DCV02
"=""003830""",0,AC001
"=""003830""",0,TAS01
"=""003830""",0,SA001
"=""003830""",0,DCV01
"=""003830""",0,QLD01
"=""003830""",0,WA001
"=""003830""",0,VIC01
"=""003830""",0,NSW01
"=""003830""",2,WHS01
"=""003900""",1,DCV01
"=""003900""",1,WA001
"=""003900""",7,WHS01
"=""003900""",0,VIC01
"=""003900""",1,QLD01
"=""003900""",2,NSW01
"=""003900""",1,SA001
"=""003900""",1,TAS01
"=""003900""",0,AC001
"=""003900""",0,DCV02
003900UC,0,DCV02
003900UC,0,QLD01
003900UC,0,NSW01
003900UC,0,VIC01
003900UC,0,WA001
003900UC,0,SA001
003900UC,0,AC001
003900UC,0,TAS01
003900UC,0,WHS01
003900UC,0,DCV01
"=""004000""",0,DCV01
"=""004000""",0,WA001
"=""004000""",0,QLD01
"=""004000""",10,WHS01
"=""004000""",0,NSW01
"=""004000""",0,VIC01
"=""004000""",0,SA001
"=""004000""",0,DCV02
"=""004000""",0,TAS01
"=""004000""",0,AC001
004000UC,0,DCV02
004000UC,0,SA001
004000UC,0,WA001
004000UC,0,VIC01
